,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
58,58,F29472,2385.0,E,5.0,2019-09-11 14:33:39.000,2019-09-11,2019-09-11 00:00:00,2019-10-11,,1500.0000000000002,0.0,0.0
59,59,F29473,2385.0,E,5.0,2019-09-11 14:52:52.000,2019-09-11,2019-09-11 00:00:00,2019-10-11,,24000.000000000004,0.0,0.0
225,225,F29639,251.0,C,5.0,2019-09-25 09:09:58.000,2019-09-25,2019-09-25 00:00:00,2019-10-25,2019-09-26,1250.0,0.0,0.0
249,249,F29663,251.0,E,5.0,2019-09-26 15:28:26.000,2019-09-26,2019-09-26 00:00:00,2019-10-26,,1250.0,0.0,0.0
292,292,F29706,2325.0,E,5.0,2019-09-30 17:55:46.000,2019-09-30,2019-09-30 00:00:00,2019-09-30,,6737.198200000001,0.0,0.0
409,409,F29825,941.0,E,5.0,2019-10-08 10:19:30.000,2019-10-08,2019-10-08 00:00:00,2019-11-07,,11100.0,0.0,0.0
544,544,F29960,3526.0,E,5.0,2019-10-18 11:43:20.000,2019-10-18,2019-10-18 00:00:00,2019-10-18,,250.86,0.0,0.0
752,752,F30168,85.0,C,5.0,2019-11-06 11:54:29.000,2019-11-06,2019-11-06 00:00:00,2019-11-06,2019-11-06,2517.2000000000003,0.0,0.0
984,984,F30400,5904.0,C,5.0,2019-11-27 12:53:42.000,2019-11-27,2019-11-13 00:00:00,2019-11-27,2019-11-27,8250.0,0.0,0.0
988,988,F30404,5904.0,E,5.0,2019-11-27 13:45:07.000,2019-11-27,2019-11-13 00:00:00,2019-11-27,,8250.0,0.0,0.0
1121,1121,F30537,1289.0,E,5.0,2019-12-10 09:59:22.000,2019-12-10,2019-12-06 00:00:00,2020-01-09,,5588.000000000001,0.0,0.0
1135,1135,F30551,5207.0,E,5.0,2019-12-11 09:53:10.000,2019-12-11,2019-12-13 00:00:00,2019-12-11,,4668.5,0.0,0.0
1167,1167,F30583,3612.0,E,5.0,2019-12-16 11:33:36.000,2019-12-16,2019-12-16 00:00:00,2020-02-14,,2160.0,0.0,0.0
1266,1266,F30682,5926.0,E,5.0,2019-12-24 10:10:17.000,2019-12-24,2019-12-24 00:00:00,2019-12-24,,148.0,0.0,0.0
1284,1284,F30700,1289.0,E,5.0,2020-01-06 08:57:52.000,2020-01-06,2020-01-13 00:00:00,2020-02-05,,5973.000000000001,0.0,0.0
1301,1301,F30717,3612.0,C,5.0,2020-01-07 11:26:26.000,2020-01-07,2020-01-07 00:00:00,2020-03-07,2020-01-07,1236.0,0.0,0.0
1302,1302,F30718,3612.0,E,5.0,2020-01-07 11:31:04.000,2020-01-07,2020-01-07 00:00:00,2020-03-07,,1236.0,0.0,0.0
1311,1311,F30727,1289.0,E,5.0,2020-01-08 09:05:57.000,2020-01-08,2020-01-13 00:00:00,2020-02-07,,4191.0,0.0,0.0
1315,1315,F30731,2385.0,C,5.0,2020-01-08 10:52:11.000,2020-01-08,2019-12-18 00:00:00,2020-02-07,2020-01-08,2750.0,0.0,0.0
1318,1318,F30734,2385.0,E,5.0,2020-01-08 11:09:32.000,2020-01-08,2019-12-18 00:00:00,2020-02-07,,4780.0,0.0,0.0
1392,1392,F30808,1429.0,E,5.0,2020-01-15 17:45:42.000,2020-01-15,2020-01-14 00:00:00,2020-02-14,,20200.0,0.0,0.0
1394,1394,F30810,6059.0,E,5.0,2020-01-15 18:21:55.000,2020-01-15,2020-01-09 00:00:00,2020-01-15,,3400.0000000000005,0.0,0.0
1445,1445,F30861,6885.0,E,5.0,2020-01-21 17:26:35.000,2020-01-21,2020-01-21 00:00:00,2020-01-21,,1034.4827,0.0,0.0
1450,1450,F30866,161.0,E,5.0,2020-01-22 09:50:10.000,2020-01-22,2020-01-21 00:00:00,2020-02-21,,3700.000000000001,0.0,0.0
1469,1469,F30885,6850.0,E,5.0,2020-01-23 11:36:49.000,2020-01-23,2020-01-13 00:00:00,2020-01-23,,2720.0,0.0,0.0
1495,1495,F30911,3930.0,E,5.0,2020-01-24 17:13:49.000,2020-01-24,2020-01-21 00:00:00,2020-02-23,,51450.00000000001,0.0,0.0
1512,1512,F30928,2385.0,E,5.0,2020-01-28 11:30:30.000,2020-01-28,2020-01-23 00:00:00,2020-02-27,,24640.0,0.0,0.0
1548,1548,F30964,7023.0,E,5.0,2020-01-31 10:56:15.000,2020-01-31,2020-01-31 00:00:00,2020-01-31,,4650.0,0.0,0.0
1556,1556,F30972,7019.0,E,5.0,2020-01-31 16:46:27.000,2020-01-31,2020-01-31 00:00:00,2020-01-31,,3900.000000000001,0.0,0.0
1573,1573,F30989,6538.0,E,5.0,2020-01-31 18:41:50.000,2020-01-31,2020-01-31 00:00:00,2020-01-31,,11250.000000000002,0.0,0.0
1575,1575,F30991,7027.0,E,5.0,2020-01-31 18:44:38.000,2020-01-31,2020-01-31 00:00:00,2020-01-31,,4200.0,0.0,0.0
1613,1613,F31029,2385.0,E,5.0,2020-02-06 10:25:54.000,2020-02-06,2020-01-27 00:00:00,2020-03-07,,42000.0,0.0,0.0
1636,1636,F31052,161.0,E,5.0,2020-02-07 09:22:41.000,2020-02-07,2020-01-31 00:00:00,2020-03-08,,2125.5,0.0,0.0
1637,1637,F31053,161.0,E,5.0,2020-02-07 09:24:04.000,2020-02-07,2020-01-21 00:00:00,2020-03-08,,1850.0,0.0,0.0
1659,1659,F31075,7027.0,E,5.0,2020-02-10 12:42:03.000,2020-02-10,2020-01-31 00:00:00,2020-02-10,,8400.0,0.0,0.0
1672,1672,F31088,7019.0,E,5.0,2020-02-11 13:01:51.000,2020-02-11,2020-01-28 00:00:00,2020-02-11,,4700.0,0.0,0.0
1698,1698,F31114,5441.0,E,5.0,2020-02-12 09:45:13.000,2020-02-12,2020-02-18 00:00:00,2020-02-12,,7780.000000000001,0.0,0.0
1718,1718,F31134,2385.0,E,5.0,2020-02-14 08:49:19.000,2020-02-14,2020-02-07 00:00:00,2020-03-15,,5640.0,0.0,0.0
1719,1719,F31135,7023.0,E,5.0,2020-02-14 09:22:25.000,2020-02-14,2020-02-17 00:00:00,2020-02-14,,4650.0,0.0,0.0
1738,1738,F31154,161.0,E,5.0,2020-02-17 08:57:52.000,2020-02-17,2020-02-19 00:00:00,2020-03-18,,3700.000000000001,0.0,0.0
1739,1739,F31155,1289.0,E,5.0,2020-02-17 09:11:42.000,2020-02-17,2020-02-17 00:00:00,2020-03-18,,5631.18,0.0,0.0
1752,1752,F31168,161.0,E,5.0,2020-02-18 09:47:50.000,2020-02-18,2020-02-19 00:00:00,2020-03-19,,1230.0,0.0,0.0
1763,1763,F31179,7060.0,E,5.0,2020-02-18 15:47:14.000,2020-02-18,2020-02-18 00:00:00,2020-02-18,,1309.6364,0.0,0.0
1785,1785,F31201,3825.0,E,5.0,2020-02-20 08:24:12.000,2020-02-20,2020-02-20 00:00:00,2020-03-21,,1020.6,0.0,0.0
1812,1812,F31228,7051.0,E,5.0,2020-02-21 11:45:30.000,2020-02-21,2020-02-17 00:00:00,2020-02-21,,4745.0,0.0,0.0
1818,1818,F31234,7060.0,E,5.0,2020-02-21 17:14:26.000,2020-02-21,2020-02-21 00:00:00,2020-02-21,,1199.0,0.0,0.0
1822,1822,F31238,161.0,E,5.0,2020-02-24 09:05:48.000,2020-02-24,2020-02-26 00:00:00,2020-03-25,,1954.0,0.0,0.0
