,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,2539,https://www.airbnb.com/rooms/2539,20250617032754,2025-06-17,city scrape,Superfast Wi-Fi.  Clean & quiet home by the park,"Bright, serene room in a renovated apartment home within an elevator building<br /><br />New Nectar mattress with cool memory foam for the perfect blend of comfort and support<br /><br />Clean, quiet environment for a restful stay<br /><br />Convenient laundry room available in the building",Close to Prospect Park and Historic Ditmas Park,https://a0.muscache.com/pictures/hosting/Hosting-2539/original/b167eb8e-9b08-49af-886a-407cd8a4eb4d.jpeg,2787,https://www.airbnb.com/users/show/2787,John,2008-09-07,"New York, NY","Educated professional living in Brooklyn.  I love meeting new people, running, hiking, fine foods, traveling, etc.  One of my favorite trips was spending New Year's Eve in London on the Thames River.  Big Ben, spectacular fireworks and light show; and fun times with a good crowd of international tourists....a most memorable night and trip!  Also, I generally approach life with a positive attitude.  I look forward to meeting you.",within a few hours,100%,80%,f,https://a0.muscache.com/im/pictures/user/User/original/cf17d21d-33e9-49f3-8c9f-76367fc4853d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/cf17d21d-33e9-49f3-8c9f-76367fc4853d.jpeg?aki_policy=profile_x_medium,Gravesend,6.0,13.0,"['email', 'phone']",t,t,Neighborhood highlights,Kensington,Brooklyn,40.64529,-73.97238,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,"[""Dedicated workspace"", ""Essentials"", ""Cooking basics"", ""Stove"", ""Blender"", ""Dishes and silverware"", ""Hot water"", ""Dining table"", ""Dryer"", ""Washer"", ""Lock on bedroom door"", ""Kitchen"", ""Bathtub"", ""Oven"", ""Refrigerator"", ""Wine glasses"", ""Single level home"", ""Fire extinguisher"", ""Fast wifi \u2013 330 Mbps"", ""Luggage dropoff allowed"", ""Microwave"", ""Bed linens"", ""Cleaning available during stay"", ""Conditioner"", ""Smoke alarm"", ""Elevator"", ""Body soap"", ""Clothing storage"", ""Self check-in"", ""Hair dryer"", ""Backyard"", ""Carbon monoxide alarm"", ""Freezer"", ""Heating"", ""Shower gel"", ""Coffee maker"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Cleaning products"", ""Long term stays allowed"", ""Free street parking"", ""Shampoo"", ""Laundromat nearby"", ""Lockbox""]",$285.00,30,730,30,30,730,730,30.0,730.0,,t,12,42,72,347,2025-06-17,9,0,0,180,0,0,0.0,2015-12-04,2018-10-19,4.89,4.88,5.0,5.0,5.0,4.75,4.88,,f,6,1,5,0,0.08
200,235960,https://www.airbnb.com/rooms/235960,20250617032754,2025-06-17,city scrape,"LES private 1 bd apt, walk to *everthing*","How would you like to stay in Lady Gaga's old building in the famous LES neighborhood of NYC?! This clean 1 bedroom, 2nd floor apartment is in the middle of everything.  On the corner of Clinton and Stanton in the Lower East Side, you are a short walk from a cocktail bar, 2 wine bars, many award winning restaurants, and no less than 4 cafes.","This clean 1 bedroom, 2nd floor apartment is in the middle of everything.  On the corner of Clinton and Stanton in the Lower East Side, you are a short walk from a cocktail bar, 2 wine bars, many award winning restaurants, and no less than 4 cafes.  A few more blocks brings you to all the dive bars, night clubs, and cultural destinations downtown Manhattan has to offer - but you're far enough away to have a quiet night if you want to.",https://a0.muscache.com/pictures/miso/Hosting-235960/original/a20309f9-b74e-4881-be91-d54bd2266ff2.jpeg,1236817,https://www.airbnb.com/users/show/1236817,Blue,2011-10-02,"Miami Beach, FL","I am a freelance technologist and an entrepreneur, in the middle of launching two new businesses.  I'm very laid back, polite and calm, which helps a lot when you live in NYC.  I travel as much as I can, but in the end, I love my neighborhood and I love this city.",within an hour,100%,83%,t,https://a0.muscache.com/im/users/1236817/profile_pic/1317574668/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1236817/profile_pic/1317574668/original.jpg?aki_policy=profile_x_medium,Lower East Side,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Lower East Side,Manhattan,40.72113,-73.98442,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Dedicated workspace"", ""Essentials"", ""Cooking basics"", ""Stove"", ""Dishes and silverware"", ""Hot water"", ""Portable fans"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Wine glasses"", ""Books and reading material"", ""55 inch HDTV with Roku"", ""Microwave"", ""Bed linens"", ""Baking sheet"", ""Conditioner"", ""Smoke alarm"", ""Body soap"", ""Clothing storage"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Heating"", ""Shower gel"", ""Coffee maker"", ""Board games"", ""Extra pillows and blankets"", ""Cleaning products"", ""Coffee"", ""Shampoo""]",$158.00,30,90,30,30,90,90,30.0,90.0,,t,6,15,22,202,2025-06-17,121,4,1,130,4,240,37920.0,2011-10-10,2025-06-05,4.71,4.68,4.15,4.84,4.91,4.82,4.48,,f,1,1,0,0,0.73
400,432090,https://www.airbnb.com/rooms/432090,20250617032754,2025-06-17,previous scrape,Only 5 Min. to Manhattan!,"Comfortable room in cozy New York apartment. Neighborhood is quiet and safe, and within walking distance of small shops, restaurants, and a gorgeous park on the water. Very easy to get to Manhattan by subway (literally 5 minutes away!) and all the attractions of Times Square, Grand Central Station, Central Park, and downtown. I love New York and I hope you will too!","Neighborhood is very nice, SAFE, and convenient. There are shops and restaurants nearby, as well as a GOURGEOUS park with excellent views of Manhattan.",https://a0.muscache.com/pictures/6aedec9b-f746-4cea-b8a9-da4afaa66f5e.jpg,2148881,https://www.airbnb.com/users/show/2148881,Grace,2012-04-16,"New York, NY","My boyfriend and I live in the apartment and we look forward to welcoming you! We are both working professionals/creatives, sometimes working from home, other times leaving the house super early in the morning. We both have busy lives and are easy-going, cool, friendly, respectful, kind, and courteous. Between us, we love to do yoga, love to eat, explore the city, travel, enjoy different cultures, and love dogs! ",,,,f,https://a0.muscache.com/im/users/2148881/profile_pic/1334557701/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2148881/profile_pic/1334557701/original.jpg?aki_policy=profile_x_medium,Long Island City,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Long Island City,Queens,40.7464,-73.94807,Private room in rental unit,Private room,1,,1 shared bath,,,"[""Essentials"", ""Cooking basics"", ""TV with standard cable"", ""Stove"", ""Dishes and silverware"", ""Hot water"", ""Lock on bedroom door"", ""Kitchen"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Single level home"", ""Microwave"", ""Bed linens"", ""Smoke alarm"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Coffee maker"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Free street parking"", ""Shampoo""]",,30,90,30,30,90,90,30.0,90.0,,t,0,0,0,0,2025-06-17,69,0,0,0,0,0,,2012-05-13,2016-09-28,4.94,4.84,4.91,4.96,4.93,4.84,4.81,,f,1,0,1,0,0.43
600,704838,https://www.airbnb.com/rooms/704838,20250617032754,2025-06-17,city scrape,An Oasis in  the Big Apple 1,,,https://a0.muscache.com/pictures/4b022ab3-4c6a-4157-8417-ffe96928f30c.jpg,3621183,https://www.airbnb.com/users/show/3621183,Paul,2012-09-19,,I am Fine,within a few hours,88%,86%,f,https://a0.muscache.com/im/users/3621183/profile_pic/1348681619/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3621183/profile_pic/1348681619/original.jpg?aki_policy=profile_x_medium,Woodside,3.0,7.0,"['email', 'phone']",t,f,,Woodside,Queens,40.74836,-73.89686,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,5.0,"[""Essentials"", ""Cooking basics"", ""TV with standard cable"", ""Dishes and silverware"", ""Hot water"", ""Kitchen"", ""Keypad"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Microwave"", ""Bed linens"", ""Smoke alarm"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Gas stove"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Freezer"", ""Heating"", ""Air conditioning"", ""Shower gel"", ""Coffee maker"", ""Free street parking"", ""Shampoo""]",$95.00,30,365,30,30,365,365,30.0,365.0,,t,0,7,37,230,2025-06-17,97,2,1,63,4,120,11400.0,2016-06-15,2025-05-31,4.72,4.82,4.64,4.88,4.79,4.75,4.65,,f,3,3,0,0,0.88
800,880424,https://www.airbnb.com/rooms/880424,20250617032754,2025-06-17,previous scrape,★Beautiful Home Away From Home★,"Welcome to our apartment! From our guests:<br /><br />""Highly recommend it!"" -Andrea<br /><br />""This apartment is amazing."" -Jonathan<br /><br />""One of the best experiences I have had with AirBnB."" -Giorgi<br /><br />""Calm, relaxing, friendly, safe, clean and stress-free."" -Emily<br /><br />""Absolutely amazing!"" -Adeel<br /><br />""The place was fantastic."" -Katy<br /><br />“The Wi-Fi was impeccable.” -Anthony<br /><br />""By far my best experience at Airbnb!"" -Wamidh<br /><br />Please feel free to send me a request!","I love my neighborhood. It's inspiringly diverse, a true NYC / Brooklyn experience with people from all over the world; one of the things we love is seeing everyone, regardless of culture/background, come together at our corner of the Park for the beautiful nature and peaceful recreation with friends and family.  Prospect Park is 526 acres, designed by the same people who designed Central Park, and we're right next to the new $74m Lakeside renovation, which is stunningly beautiful.  There's a lot of great food here - Thai, Jamaican, vegetarian, Japanese, Indian, Italian, American, Mexican, Caribbean...  There are many groceries close by including an all-organic grocery; there's a great Laundromat with wash 'n' fold around the corner; and there are plenty of convenient shops close by for most everything you might need.  Also, there are some really great coffeeshops in the neighborhood, as well as new gyms (Blink Fitness) and yoga centers.  We're also just a five-minute ride on the subwa",https://a0.muscache.com/pictures/6a2af88e-3691-4f57-8aa3-e47e4472e804.jpg,3549531,https://www.airbnb.com/users/show/3549531,Jeremy,2012-09-12,"New York, NY","Hello all! I originally hail from Michigan, here in the US. This is my ninth year living in NYC (before that I was based in Oakland, California for about five years).  I work as a composer and performer, as well as violinist and fiddler, and am often traveling to to perform or record, but when I'm home, I love living in Brooklyn.  Our neighborhood is home to many well-known and brilliant musicians and artists, and we're lucky to live next to Prospect Park. We've truly enjoyed meeting our Airbnb guests from all around the world, and we look forward to meeting you!",,,,f,https://a0.muscache.com/im/pictures/user/995a5136-c867-46ed-874f-aff518d87e97.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/995a5136-c867-46ed-874f-aff518d87e97.jpg?aki_policy=profile_x_medium,Flatbush,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Prospect-Lefferts Gardens,Brooklyn,40.65517,-73.96083,Private room in rental unit,Private room,1,,1 shared bath,,,"[""Essentials"", ""Cooking basics"", ""Stove"", ""Dishes and silverware"", ""Hot water"", ""Lock on bedroom door"", ""Kitchen"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Smoke alarm"", ""Elevator"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Coffee maker"", ""Extra pillows and blankets"", ""Free street parking"", ""Shampoo"", ""Lockbox""]",,30,120,30,30,120,120,30.0,120.0,,t,0,0,0,0,2025-06-17,121,0,0,0,0,0,,2013-08-13,2020-02-27,4.93,4.97,4.79,4.97,4.96,4.69,4.89,,f,1,0,1,0,0.84
1000,1559912,https://www.airbnb.com/rooms/1559912,20250617032754,2025-06-17,previous scrape,Quiet Large 1BR Near Columbia,Must be cat friendly! You will be sharing the apt.with my two cats (A neighbor will periodically feed them). Large studio apt. on Broadway in the upper west side/Morningside heights area of Manhattan. It is 3 blocks from the subway. The apt. is on the 11th floor (elevator).,"The neighborhood is quiet and clean and extremely convenient in terms of restaurants and basic amenities (groceries, convenience stores). You are just blocks away from three parks: 1 block west to riverside park, 2 blocks east to morningside park, and 5 blocks southeast to central park.<br /><br />Local attractions also include the massive gothic Cathedral of St. John the Divine and General Grant's tomb.",https://a0.muscache.com/pictures/22760006/03528f5d_original.jpg,8301763,https://www.airbnb.com/users/show/8301763,Kevin,2013-08-21,"New York, NY","Hello! I'm Kevin. I'm a west coast transplant - spent most of my younger days between southern and northern California, though the last 8 years have been split between Boston and NY.

NY is great, especially if you love people! For fun I like to play volleyball, cycle around the city, attend various performing arts (opera, plays), or hang out with friends.",,,,f,https://a0.muscache.com/im/users/8301763/profile_pic/1377098544/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8301763/profile_pic/1377098544/original.jpg?aki_policy=profile_x_medium,Morningside Heights,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Morningside Heights,Manhattan,40.80581,-73.96658,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Dryer"", ""Washer"", ""Essentials"", ""Kitchen"", ""Smoke alarm"", ""Elevator"", ""Wifi"", ""Shampoo"", ""Heating"", ""Air conditioning""]",,30,36,30,30,36,36,30.0,36.0,,t,0,0,0,0,2025-06-17,9,0,0,0,0,0,,2013-09-11,2016-10-12,5.0,5.0,4.22,5.0,5.0,4.89,5.0,,f,1,1,0,0,0.06
1200,2165933,https://www.airbnb.com/rooms/2165933,20250617032754,2025-06-17,city scrape,Furnished one bedroom in Midtown West.,"Executive Plaza <br />Clean, furnished, one bedroom corner apartment located in Midtown West in the heart of the Theater District. Walking distance to Times Square, Rockefeller Center, Central Park and a variety of theaters, restaurants, cafes, lounges. High floor, full city view. HDTV,  high speed WiFi internet.<br />Luxury building. Doorman. Concierge. Maid service. Roof deck. Laundry room. Gym included.","Heart of the Theater District. Walking distance to Times Square, Rockefeller Center, Central Park and a variety of theaters, restaurants,cafes,lounges, two blocks from Fifth Avenue, Carnegie Hall, steps from Central Park, lot of subway stations around.",https://a0.muscache.com/pictures/29368384/9b8e4c65_original.jpg,11051885,https://www.airbnb.com/users/show/11051885,Gregory,2014-01-05,"New York, NY",New York,within a day,50%,17%,f,https://a0.muscache.com/im/users/11051885/profile_pic/1389623979/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/11051885/profile_pic/1389623979/original.jpg?aki_policy=profile_x_medium,Times Square/Theatre District,1.0,1.0,"['email', 'phone']",t,f,Neighborhood highlights,Theater District,Manhattan,40.76196,-73.98377,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Essentials"", ""HDTV"", ""Cooking basics"", ""Dishes and silverware"", ""Hot water"", ""Dining table"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Window guards"", ""Refrigerator"", ""Oven"", ""Hot water kettle"", ""Toaster"", ""Trash compactor"", ""Paid washer \u2013 In building"", ""Wine glasses"", ""Electric stove"", ""Luggage dropoff allowed"", ""Microwave"", ""Bed linens"", ""Smoke alarm"", ""Paid dryer \u2013 In building"", ""Elevator"", ""Clothing storage: closet"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Freezer"", ""Air conditioning"", ""Laundromat nearby"", ""Dishwasher"", ""Coffee maker"", ""Extra pillows and blankets"", ""City skyline view"", ""Long term stays allowed"", ""Gym"", ""Central heating""]",$135.00,30,365,30,30,365,365,30.0,365.0,,t,0,6,36,311,2025-06-17,2,0,0,144,0,0,0.0,2015-12-01,2017-12-06,4.0,4.0,3.5,4.5,4.5,4.5,4.0,,f,1,1,0,0,0.02
1400,2296024,https://www.airbnb.com/rooms/2296024,20250617032754,2025-06-17,city scrape,Three bedroom upscale condo,,,https://a0.muscache.com/pictures/1a2e22a6-abf9-490d-b412-d0641e4c1d2e.jpg,2321783,https://www.airbnb.com/users/show/2321783,Donna,2012-05-08,"New York, NY",,within a few hours,100%,0%,f,https://a0.muscache.com/im/users/2321783/profile_pic/1336497155/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2321783/profile_pic/1336497155/original.jpg?aki_policy=profile_x_medium,Riverdale,1.0,2.0,"['email', 'phone']",t,t,,Spuyten Duyvil,Bronx,40.88489,-73.91597,Entire condo,Entire home/apt,6,2.5,2.5 baths,3.0,0.0,"[""Dedicated workspace"", ""Essentials"", ""Children\u2019s books and toys"", ""TV with standard cable"", ""Dishes and silverware"", ""Hot water"", ""Shared pool"", ""Dryer"", ""Washer"", ""Kitchen"", ""Hangers"", ""Refrigerator"", ""Crib"", ""Private patio or balcony"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Private hot tub"", ""Microwave"", ""Pets allowed"", ""Pack \u2019n play/Travel crib"", ""Smoke alarm"", ""Elevator"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Heating"", ""Air conditioning"", ""Paid parking off premises"", ""Gym"", ""Free street parking"", ""Building staff"", ""Shampoo""]",$260.00,30,62,30,30,62,62,30.0,62.0,,t,17,17,47,322,2025-06-17,10,0,0,155,0,0,0.0,2015-04-13,2023-08-29,4.9,4.33,4.67,5.0,4.78,4.67,4.56,,f,1,1,0,0,0.08
1600,3157330,https://www.airbnb.com/rooms/3157330,20250617032754,2025-06-18,previous scrape,"clean, casual 2BD apt in bed-stuy!","The apartment is great for a couple or small family -- has one master bedroom and one smaller one, which we use for storage/exercise room.  Hardwood floors, compact and totally functional kitchen,  big bathroom.  Got a really great vibe.","Bed-stuy is a really cool neighborhood to explore.  There are a few new coffee shops on Throop (e.g. Burly, Anchor), and even more on Tompkins.  Three blocks away is Bedford, which is already totally gentrified.  ",https://a0.muscache.com/pictures/65496439/2a1a6883_original.jpg,9105586,https://www.airbnb.com/users/show/9105586,Marc,2013-09-28,"New York, NY",,,,,f,https://a0.muscache.com/im/users/9105586/profile_pic/1407889096/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9105586/profile_pic/1407889096/original.jpg?aki_policy=profile_x_medium,Bedford-Stuyvesant,1.0,2.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Bedford-Stuyvesant,Brooklyn,40.68958,-73.94138,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,"[""Kitchen"", ""Smoke alarm"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-18,0,0,0,0,0,0,,,,,,,,,,,,f,1,1,0,0,
1800,3529500,https://www.airbnb.com/rooms/3529500,20250617032754,2025-06-17,city scrape,Exposed bricks  pre war rowhouse apartment,,"The is a very family, young people friendly safe cultured downtown Brooklyn neighborhood  ",https://a0.muscache.com/pictures/aa21ae47-a3f1-48fd-9dec-24dac5a03fc5.jpg,14902860,https://www.airbnb.com/users/show/14902860,Velma,2014-04-29,"New York, United States",,within an hour,100%,99%,t,https://a0.muscache.com/im/users/14902860/profile_pic/1398830417/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/14902860/profile_pic/1398830417/original.jpg?aki_policy=profile_x_medium,Bedford-Stuyvesant,11.0,16.0,"['email', 'phone']",t,t,Neighborhood highlights,Bedford-Stuyvesant,Brooklyn,40.68403,-73.94271,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Essentials"", ""Children\u2019s books and toys"", ""Cooking basics"", ""TV with standard cable"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Long term stays allowed"", ""Free street parking"", ""Shampoo"", ""Host greets you""]",$175.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,29,59,89,364,2025-06-17,72,0,0,197,0,0,0.0,2014-10-27,2022-11-15,4.39,4.36,4.29,4.86,4.86,4.55,4.35,,f,4,4,0,0,0.56
